Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location
Toyota,Corolla XLI,2007,250000,1350000,Petrol,Lahore,Original,Imported,Manual,Used,"Faizabad, Rawalpindi"
Toyota,Yaris,2022,22000,5000000,Petrol,Punjab,Original,Imported,Automatic,Used,"Fateh Garh, Lahore"
Toyota,Corrolla Altis,2010,105000,2350000,Petrol,Islamabad,Original,Local,Automatic,Used,"Bahria Town, Islamabad"
Suzuki,Cultus VXR,2005,95000,950000,Petrol,Lahore,Original,Imported,Manual,Used,"Burma Town, Islamabad"
Honda,City Aspire,2019,60500,3950000,Petrol,Islamabad,Original,Local,Manual,Used,"National Police Foundation O-9, Islamabad"
Suzuki,Ravi,2017,60000,1500000,Petrol,Islamabad,Original,Imported,Manual,Used,"Asghar Mall Scheme, Rawalpindi"
Suzuki,Swift,2013,99000,1820000,Petrol,Karachi,Original,Local,Manual,Used,"Chah Hafiz Wala, Multan"
Suzuki,Alto,2022,7300,2815000,Petrol,Karachi,Original,Local,Automatic,Used,"Punjab Chowrangi, Karachi"
Mitsubishi,Lancer,2005,112233,1200000,Petrol,Karachi,Original,Imported,Manual,Used,"Hussainabad, Hyderabad"
Suzuki,Swift,2016,123000,2200000,Petrol,Lahore,Original,Imported,Manual,Used,"Alfalah Town, Lahore"
Suzuki,Baleno,2005,75000,560000,Petrol,Karachi,Duplicate,Local,Manual,Used,"Ancholi, Karachi"
Daihatsu,Cuore,2011,35000,1200000,Petrol,Lahore,Original,Local,Automatic,Used,"Model Town, Lahore"
Suzuki,Wagon R,2018,93575,1925000,Petrol,Lahore,Original,Imported,Manual,Used,"Saddar, Lahore"
Suzuki,Baleno,2003,99999,930000,Petrol,Faisalabad,Original,Local,Manual,Used,"I-10, Islamabad"
Changan,Karvaan,2022,7000,2200000,Petrol,Lahore,Original,Local,Manual,Used,"Sabzazar, Lahore"
Suzuki,Wagon R,2019,50000,2500000,Petrol,Lahore,Original,Local,Manual,Used,"Mughalpura, Lahore"
Toyota,Corolla XLI,2020,48000,4300000,Petrol,Islamabad,Original,Local,Automatic,Used,"Palm City Housing Scheme, Gujranwala"
Toyota,Corolla GLI,2019,60000,2195000,Petrol,Islamabad,Original,Local,Manual,Used,"Shadbagh, Lahore"
FAW,X-PV,2014,150000,900000,Petrol,Lahore,Original,Local,Manual,Used,"Haroonabad, Bahawalnagar"
Toyota,Yaris,2021,42000,4100000,Petrol,Karachi,Original,Local,Automatic,Used,"Tariq Road, Karachi"
Suzuki,Bolan,2009,100000,860000,Petrol,Rawalpindi,Original,Local,Manual,Used,"PWD Road, Islamabad"
Suzuki,Mehran VXR,2011,35000,530000,Petrol,Multan,Original,Local,Manual,Used,"New Shah Shams Colony, Multan"
Honda,City IVTEC,2010,210000,2490000,Petrol,Islamabad,Original,Local,Manual,Used,"MPCHS - Multi Gardens, Islamabad"
Daihatsu,Mira,2012,100000,2070000,Petrol,Karachi,Original,Imported,Automatic,Used,"Citizen Road, Hyderabad"
Daihatsu,Hijet,2017,5700,1150000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Others, Faisalabad"
Toyota,Corolla GLI,2012,105000,2650000,Petrol,Karachi,Original,Local,Manual,Used,"University Road, Karachi"
Suzuki,Swift,2016,74000,2225000,Petrol,Lahore,Original,Local,Manual,Used,"Gulberg 3, Lahore"
Suzuki,Swift,2019,62000,2690000,Petrol,Lahore,Original,Local,Manual,Used,"Misri Shah, Lahore"
Suzuki,Wagon R,2021,8000,2900000,Petrol,Karachi,Original,Local,Manual,Used,"Gulistan-e-Jauhar Block 2, Karachi"
